Date,Open,High,Low,Close,Adj Close,Volume
2013-04-29,92.699997,96.040001,90.110001,95.610001,95.610001,1432819
2013-05-06,95.580002,97.169998,93.370003,96.040001,96.040001,1433775
2013-05-13,95.760002,96.449997,92.129997,96.019997,96.019997,1412740
2013-05-20,95.930000,97.110001,92.209999,94.150002,94.150002,1241901
2013-05-27,93.889999,95.919998,91.559998,91.970001,91.970001,1097284
2013-06-03,91.730003,96.389999,91.260002,96.029999,96.029999,1455516
2013-06-10,96.089996,98.250000,94.040001,97.849998,97.849998,1202300
2013-06-17,97.849998,99.010002,93.120003,93.690002,93.690002,1216844
2013-06-24,93.849998,97.820000,92.669998,96.559998,96.559998,1391698
2013-07-01,96.580002,103.680000,96.070000,103.220001,103.220001,1124251
2013-07-08,103.949997,107.449997,102.129997,105.949997,105.949997,1495179
2013-07-15,106.050003,109.320000,104.650002,108.050003,108.050003,992852
2013-07-22,108.339996,108.790001,103.900002,104.699997,104.699997,1283203
2013-07-29,104.610001,108.820000,102.669998,106.940002,106.940002,1257966
2013-08-05,106.839996,107.690002,102.220001,105.970001,105.970001,1395964
2013-08-12,105.839996,108.169998,105.029999,107.459999,107.459999,1236560
2013-08-19,107.779999,107.800003,103.500000,106.419998,106.419998,1187326
2013-08-26,106.910004,112.239998,105.559998,107.650002,107.650002,1298176
2013-09-02,107.070000,110.699997,104.209999,110.529999,110.529999,967150
2013-09-09,110.279999,110.459999,106.389999,108.209999,108.209999,1287281
2013-09-16,107.500000,108.989998,104.320000,104.680000,104.680000,1177822
2013-09-23,104.889999,105.120003,102.199997,102.870003,102.870003,1135207
2013-09-30,102.459999,104.379997,101.050003,103.839996,103.839996,1141683
2013-10-07,103.449997,104.080002,100.599998,102.019997,102.019997,1341425
2013-10-14,101.370003,102.970001,100.029999,100.809998,100.809998,1029433
2013-10-21,100.629997,100.949997,95.949997,97.849998,97.849998,1235706
2013-10-28,97.879997,98.820000,94.360001,94.610001,94.610001,1219075
2013-11-04,94.519997,95.400002,93.070000,94.599998,94.599998,1230572
2013-11-11,94.449997,95.379997,92.510002,93.839996,93.839996,1384851
2013-11-18,93.779999,95.629997,92.430000,94.839996,94.839996,1006778
2013-11-25,94.150002,94.690002,91.769997,92.720001,92.720001,805121
2013-12-02,92.709999,98.070000,92.559998,97.650002,97.650002,1320264
2013-12-09,97.660004,98.750000,96.260002,96.599998,96.599998,1188032
2013-12-16,96.550003,99.400002,96.209999,99.320000,99.320000,736408
2013-12-23,99.199997,100.750000,98.529999,100.320000,100.320000,352014
2013-12-30,100.150002,100.419998,93.860001,93.959999,93.959999,699033
2014-01-06,94.180000,94.589996,91.239998,92.720001,92.720001,1123188
2014-01-13,92.830002,94.940002,91.430000,94.370003,94.370003,1003999
2014-01-20,94.000000,97.839996,93.430000,96.639999,96.639999,1010961
2014-01-27,96.900002,98.589996,95.209999,97.489998,97.489998,1094963
2014-02-03,97.400002,100.239998,96.260002,99.879997,99.879997,1239953
2014-02-10,100.050003,101.379997,99.110001,100.300003,100.300003,1255252
2014-02-17,100.320000,103.800003,100.230003,102.199997,102.199997,661192
2014-02-24,102.290001,103.449997,101.019997,102.589996,102.589996,936364
2014-03-03,103.000000,105.220001,100.129997,102.580002,102.580002,1291655
2014-03-10,102.750000,102.820000,97.550003,98.889999,98.889999,1430792
2014-03-17,99.389999,100.820000,97.370003,99.459999,99.459999,966369
2014-03-24,99.489998,102.239998,98.800003,101.669998,101.669998,948616
2014-03-31,101.690002,101.970001,98.860001,101.139999,101.139999,1025692
2014-04-07,100.910004,104.440002,99.919998,103.739998,103.739998,1363177
2014-04-14,103.559998,104.989998,102.910004,104.300003,104.300003,923795
2014-04-21,104.540001,104.769997,100.480003,100.599998,100.599998,1113342
2014-04-28,100.489998,102.199997,98.739998,99.760002,99.760002,1182346
2014-05-05,99.959999,101.180000,98.910004,99.989998,99.989998,1256427
2014-05-12,100.120003,102.650002,99.930000,102.019997,102.019997,1123669
2014-05-19,102.129997,104.500000,101.970001,104.349998,104.349998,962754
2014-05-26,104.339996,104.500000,102.400002,102.709999,102.709999,788761
2014-06-02,102.919998,103.690002,101.599998,102.660004,102.660004,925950
2014-06-09,102.779999,107.680000,102.620003,106.910004,106.910004,1266939
2014-06-16,106.879997,107.730003,105.320000,107.260002,107.260002,970269
2014-06-23,107.419998,107.500000,105.029999,105.739998,105.739998,924441
2014-06-30,105.690002,106.089996,103.669998,104.059998,104.059998,847024
2014-07-07,104.059998,104.199997,100.440002,100.830002,100.830002,1200241
2014-07-14,100.459999,103.940002,99.010002,103.129997,103.129997,1339474
2014-07-21,102.970001,105.250000,101.000000,102.089996,102.089996,1119356
2014-07-28,101.870003,102.099998,97.089996,97.879997,97.879997,1330626
2014-08-04,97.669998,98.669998,96.550003,97.650002,97.650002,1262634
2014-08-11,97.540001,98.580002,95.260002,97.349998,97.349998,1358157
2014-08-18,97.099998,97.160004,92.500000,93.650002,93.650002,891530
2014-08-25,93.339996,96.000000,93.050003,95.959999,95.959999,985872
2014-09-01,95.809998,95.910004,92.680000,93.290001,93.290001,1130277
2014-09-08,93.489998,93.940002,90.430000,92.269997,92.269997,1550115
2014-09-15,92.129997,95.190002,90.629997,92.410004,92.410004,1124613
2014-09-22,92.220001,93.860001,90.580002,93.540001,93.540001,1267378
2014-09-29,93.349998,94.900002,88.180000,89.739998,89.739998,1872092
2014-10-06,89.769997,90.739998,83.589996,85.820000,85.820000,1692027
2014-10-13,85.199997,85.870003,79.779999,82.750000,82.750000,1854564
2014-10-20,83.129997,84.050003,80.050003,81.010002,81.010002,1360789
2014-10-27,81.269997,82.879997,79.440002,80.540001,80.540001,1359410
2014-11-03,80.589996,80.980003,75.839996,78.650002,78.650002,1865467
2014-11-10,78.500000,79.849998,73.250000,75.820000,75.820000,1796009
2014-11-17,75.930000,77.830002,73.879997,76.510002,76.510002,1093991
2014-11-24,76.620003,77.019997,65.690002,66.150002,66.150002,1300462
2014-12-01,66.000000,69.540001,63.720001,65.839996,65.839996,1671445
2014-12-08,65.459999,65.550003,57.340000,57.810001,57.810001,1915770
2014-12-15,57.070000,58.980000,53.599998,56.520000,56.520000,1785558
2014-12-22,57.750000,58.529999,54.509998,54.730000,54.730000,853493
2014-12-29,55.049999,55.740002,52.029999,52.689999,52.689999,962159
2015-01-05,52.610001,52.730000,46.830002,48.360001,48.360001,2070595
2015-01-12,48.189999,51.270000,44.200001,48.689999,48.689999,2035705
2015-01-19,48.689999,49.090000,45.209999,45.590000,45.590000,1580262
2015-01-26,45.200001,48.349998,43.580002,48.240002,48.240002,1744093
2015-02-02,47.590000,54.240002,46.669998,51.689999,51.689999,2915670
2015-02-09,52.009998,53.990002,48.049999,52.779999,52.779999,2558071
2015-02-16,52.750000,54.150002,49.150002,50.340000,50.340000,1267610
2015-02-23,50.750000,51.279999,47.799999,49.759998,49.759998,2057086
2015-03-02,49.450001,52.400002,48.709999,49.610001,49.610001,2039556
2015-03-09,49.599998,50.790001,44.750000,44.840000,44.840000,1964331
2015-03-16,44.810001,46.529999,42.029999,45.720001,45.720001,1420635
2015-03-23,46.410000,52.480000,45.330002,48.869999,48.869999,1900134
2015-03-30,48.570000,50.450001,47.049999,49.139999,49.139999,1626112
2015-04-06,49.470001,54.130001,49.470001,51.639999,51.639999,2271445
2015-04-13,51.810001,57.419998,51.470001,55.740002,55.740002,1959221
2015-04-20,56.160000,58.410000,54.849998,57.150002,57.150002,1540148
